2659783 4.27910000 8.32650000 135.12910000 241 241 241
2686198 4.05120000 8.15860000 135.00940000 205 205 205
2279946 1.22720000 4.05470000 135.16810000 208 208 208
2781119 1.05880000 4.19720000 134.36260000 165 165 165
2174718 3.86880000 5.16990000 136.00180000 198 198 198
2201473 4.09280000 5.26950000 135.99280000 205 205 205
2858894 3.74910000 5.02950000 134.29190000 145 145 145
2925813 3.46040000 4.90610000 134.12690000 159 159 159
3002779 3.17970000 4.78630000 133.96270000 109 109 109
3081169 2.91310000 4.67620000 133.80760000 169 169 169
3169330 2.62590000 4.56720000 133.64590000 152 152 152
3265718 2.34030000 4.44020000 133.48450000 132 132 132
3371579 2.08380000 4.31660000 133.32100000 165 165 165
3483688 1.81080000 4.19850000 133.16140000 153 153 153
3589280 1.51570000 4.08810000 133.02970000 160 160 160
3455067 2.40990000 3.25310000 133.30330000 102 102 102
3463393 2.47440000 3.12700000 133.30100000 82 82 82
3830993 1.81960000 2.55040000 133.01400000 29 29 29
2866510 4.67570000 8.48540000 134.39470000 206 206 206
2863074 2.64360000 1.54400000 134.15940000 74 74 74
2861128 2.70390000 1.40320000 134.15940000 102 102 102
2865072 2.58490000 1.67900000 134.15940000 67 67 67
2861189 2.75950000 1.27390000 134.15750000 115 115 115
3113262 3.71520000 2.48000000 133.78330000 113 113 113
3228690 3.44850000 2.35260000 133.62180000 115 115 115
3484360 2.97900000 2.19750000 133.31620000 161 161 161
3760228 2.66700000 1.97930000 133.03500000 91 91 91
3837793 2.48120000 1.82530000 133.01310000 61 61 61
3665090 2.50100000 1.83360000 133.22190000 169 169 169
3669059 2.56790000 1.69120000 133.22210000 151 151 151
3676871 2.63020000 1.54780000 133.21640000 148 148 148
3676883 2.68570000 1.42380000 133.21800000 187 187 187
3680862 2.74870000 1.28340000 133.21260000 163 163 163
